id,city,raion,address,lat,lon,workinghours,mintime,pAddress
110,თბილისი,საბურთალო,ყაზბეგის 24 (სმაილთან),41.72419056,44.74609614,09:00-18:00,15,
111,თბილისი,საბურთალო,პეკინის18 20,41.7230775,44.7727594,09:00-18:00,15,
112,თბილისი,საბურათალო,პეკინის22 24,41.72386225,44.77188231,09:00-18:00,15,
113,თბილისი,საბურთალო,კოსტავას 77,41.72195641,44.77753105,09:00-18:00,15,
114,თბილისი,საბურთალო,კოსტავა (მაკდონალდსი),41.7187512,44.77864475,09:00-18:00,15,
115,თბილისი,საბურთალო,შარტავას 7,41.72564792,44.77500709,09:00-18:00,15,
116,თბილისი,საბურთალო,შარტავას7 9,41.72605229,44.77457257,09:00-18:00,15,
117,თბილისი,საბურთალო,შარტავას35 37,41.72849247,44.77210762,09:00-18:00,15,
118,თბილისი,საბურთალო,კანდელაკის2,41.7310987,44.76898285,09:00-18:00,15,
119,თბილისი,საბურთალო,ჟვანიას მოედანთან,41.731467,44.76760151,09:00-18:00,15,
120,თბილისი,საბურთალო,პეკინის41,41.73010586,44.76793678,09:00-18:00,15,
121,თბილისი,საბურთალო,შარტავას14,41.72538167,44.77500709,09:00-18:00,15,
122,თბილისი,საბურთალო,შარტავას16 18,41.72653472,44.77384033,09:00-18:00,15,
123,თბილისი,საბურთალო,შარტავას22 26,41.72869464,44.77165164,09:00-18:00,15,
124,თბილისი,საბურთალო,შარტავას 34 36,41.72973354,44.77056535,09:00-18:00,15,
125,თბილისი,საბურთალო,შარტავას40 42,41.73056825,44.76972045,09:00-18:00,15,
126,თბილისი,საბურთალო,კოსტავას 70,41.72055703,44.77770003,09:00-18:00,15,
127,თბილისი,საბურთალო,კოსტავას 70 (დანიურის უკან),41.72023471,44.77727087,09:00-18:00,15,
128,თბილისი,საბურთალო,მარიჯანის ქ,41.72252296,44.72990843,09:00-18:00,15,
129,თბილისი,საბურთალო,ყაზბეგის 16 20,41.7251995,44.75681098,09:00-18:00,15,
130,თბილისი,საბურთალო,ყაზბეგის19 39,41.72513143,44.75434871,09:00-18:00,15,
131,თბილისი,საბურთალო,ყაზბეგის14ა,41.72570797,44.76160677,09:00-18:00,15,
132,თბილისი,საბურთალო,ყაზბეგის12,41.7258441,44.76340385,09:00-18:00,15,
133,თბილისი,საბურთალო,ყაზბეგის15,41.72604428,44.76368012,09:00-18:00,15,
134,თბილისი,საბურთალო,ყაზბეგის4,41.72620643,44.76659032,09:00-18:00,15,
135,თბილისი,საბურთალო,ყაზბეგის 7 9ა,41.72630251,44.76616384,09:00-18:00,15,
136,თბილისი,საბურთალო,ყაზბეგის1 5,41.72645866,44.76770343,09:00-18:00,15,
137,თბილისი,საბურთალო,გამრეკელი,41.72360995,44.76905527,09:00-18:00,15,
138,თბილისი,საბურთალო,ბახტრიონის9,41.72117765,44.772231,09:00-18:00,15,
