city,raion,address,lat,lon,workinghours,mintime
თბილისი,დიდუბე,წერეთლის 74,41.73271202,44.78464887,09:00-18:00,15
თბილისი,დიდუბე,წერეთლის 65,41.7346956,44.78344532,09:00-18:00,15
თბილისი,ვერა,"კოსტავას 67,ტექნიკურ უნივერსიტეტთან",41.71548977,44.77903577,09:00-18:00,15
თბილისი,ვერა,კოსტავას 26,41.70654652,44.78682683,09:00-18:00,15
თბილისი,სოლოლაკი,ლეონიძის 10,41.69238774,44.79906709,09:00-18:00,15
თბილისი,საბურთალო,მიცკევიჩის დასაწყისი,41.72432068,44.77110179,09:00-18:00,15
თბილისი,ვერა,ლეონიძის 14,41.69220447,44.79831511,09:00-18:00,15
თბილისი,ვერა,ნიკოლაძის 8,41.70695,44.78766175,09:00-18:00,15
თბილისი,,მიშველაძის 5,41.71047217,44.75390883,09:00-18:00,15
თბილისი,,კოსტავას 75,41.72154001,44.77764638,09:00-18:00,15
თბილისი,,აბანოთ უბნის დასაცყისი,41.68895772,44.81130425,09:00-18:00,15
თბილისი,,აბანოთ უბანი 17 19,41.68888761,44.81157096,09:00-18:00,15
თბილისი,,გლდანი პროკრედიტის წინ,41.79153471,44.81655182,09:00-18:00,15
თბილისი,,გლდანი თიბისის წინ,41.79051281,44.81839182,09:00-18:00,15
თბილისი,,გლდანი ფინკა ბანკის მიმდებარედ,41.79190267,44.81676908,09:00-18:00,15
თბილისი,,გლდანი ლიბერთის წინ,41.79050881,44.81752278,09:00-18:00,15
თბილისი,,დიღომი იაშვილის კლინიკასთან,41.77243991,44.77474155,09:00-18:00,15
თბილისი,,დიღომი გაგუას კლინიკასთან,41.77311603,44.77615239,09:00-18:00,15
თბილისი,,დიღომი რკინიგზის სავადმყოფოსთან,41.77551442,44.77474155,09:00-18:00,15
თბილისი,,გლდანი ახალ მზერასთან,41.79207265,44.81453748,09:00-18:00,15
თბილისი,,ჭავჭავაძის 41,41.71198991,44.75279362,09:00-18:00,15
თბილისი,,ზ.ფალიაშვილის 38-36ა (გეგეშიძის ბაღთან),41.70827059,44.76905317,09:00-18:00,15
თბილისი,,ვაკის სასაფლაო,41.70892036,44.74005405,09:00-18:00,15
თბილისი,,ვ.გორგასლის 39 ა,41.68224337,44.82373897,09:00-18:00,15
